codCarrera,Carrera,facultad,count
39.0,MEDICINA,MEDICINA,58000
45.0,VETERINARIA,CIENCIAS VETERINARIAS,11248
40.0,NUTRICIONISTA DIETISTA,MEDICINA,8817
33.0,KINESIOLOGIA,MEDICINA,7595
90.0,INGENIERIA INFORMATICA,INGENIERIA,7133
9.0,BIOQUIMICA,FARMACIA Y BIOQUIMICA,6998
41.0,ODONTOLOGIA,ODONTOLOGIA,6825
11.0,CIENCIAS BIOLOGICAS,CS EXACTAS Y NATURALES,5851
30.0,INGENIERIA INDUSTRIAL,INGENIERIA,4864
26.0,INGENIERIA CIVIL,INGENIERIA,3998
132.0,TEC. EN INSTRUMENTACION QUIRURGICA,MEDICINA,3915
12.0,CIENCIAS DE LA COMPUTACION,CS EXACTAS Y NATURALES,3450
4.0,AGRONOMIA,AGRONOMIA,3380
20.0,FARMACIA,FARMACIA Y BIOQUIMICA,3321
5.0,ANALISTA DE SISTEMAS,INGENIERIA,3135
32.0,INGENIERIA QUIMICA,INGENIERIA,3045
28.0,INGENIERIA ELECTRONICA,INGENIERIA,2634
46.0,OBSTETRICIA,MEDICINA,2492
29.0,INGENIERIA MECANICA,INGENIERIA,2315
14.0,CIENCIAS FISICAS,CS EXACTAS Y NATURALES,2234
97.0,CIENCIAS AMBIENTALES,AGRONOMIA,1842
18.0,CIENCIAS QUIMICAS,CS EXACTAS Y NATURALES,1749
22.0,FONOAUDIOLOGIA,MEDICINA,1495
15.0,CIENCIAS GEOLOGICAS,CS EXACTAS Y NATURALES,1486
16.0,CIENCIAS MATEMATICAS,CS EXACTAS Y NATURALES,1134
17.0,CIENCIAS DE LA ATMOSFERA,CS EXACTAS Y NATURALES,979
133.0,TEC. EN PRACTICAS CARDIOLOGICAS,MEDICINA,629
47.0,ENFERMERIA,MEDICINA,621
27.0,INGENIERIA ELECTRICISTA,INGENIERIA,607
42.0,PSICOLOGIA,PSICOLOGIA,597
31.0,INGENIERIA NAVAL,INGENIERIA,592
65.0,TECNICO RADIOLOGO UNIVERS,MEDICINA,591
1.0,ABOGACIA,DERECHO,448
19.0,CONTADOR PUBLICO,CIENCIAS ECONOMICAS,394
67.0,INGENIERIA EN AGRIMENSURA,INGENIERIA,370
7.0,ARQUITECTURA,ARQUITECTURA Y URBANISMO,359
95.0,PALEONTOLOGIA,CS EXACTAS Y NATURALES,355
129.0,PROF. E. M. y S. EN MATEMATICA,CS EXACTAS Y NATURALES,343
35.0,ADMINISTRACION,CIENCIAS ECONOMICAS,313
135.0,INGENIERIA EN PETROLEO,INGENIERIA,230
50.0,DISEÑO GRAFICO,ARQUITECTURA Y URBANISMO,187
124.0,PROF. E. M. y S. EN BIOLOGIA,CS EXACTAS Y NATURALES,166
87.0,OCEANOGRAFIA,CS EXACTAS Y NATURALES,159
57.0,CIENCIAS DE LA COMUNICACION,CIENCIAS SOCIALES,146
36.0,ECONOMIA,CIENCIAS ECONOMICAS,140
76.0,DIS. DE IMAGEN Y SONIDO,ARQUITECTURA Y URBANISMO,134
21.0,FILOSOFIA,FILOSOFIA Y LETRAS,120
77.0,DIS. DE IND. Y TEXTIL,ARQUITECTURA Y URBANISMO,112
34.0,LETRAS,FILOSOFIA Y LETRAS,83
37.0,RELACIONES DEL TRABAJO,CIENCIAS SOCIALES,81
52.0,CIENCIA POLITICA,CIENCIAS SOCIALES,78
61.0,TEC.UNIV.EN MED. NUCLEAR,FARMACIA Y BIOQUIMICA,78
70.0,TEC. EN HEMOTERAPIA,MEDICINA,71
140.0,TECNOLOGIA DE ALIMENTOS,CS EXACTAS Y NATURALES,70
130.0,PROF. E. M. y S. EN QUIMICA,CS EXACTAS Y NATURALES,65
51.0,DISEÑO INDUSTRIAL,ARQUITECTURA Y URBANISMO,64
44.0,TRADUCTOR PUBLICO,DERECHO,59
126.0,PROF. E. M. y S. EN COMPUTACION,CS EXACTAS Y NATURALES,55
24.0,HISTORIA,FILOSOFIA Y LETRAS,53
6.0,ANTROPOLOGIA,FILOSOFIA Y LETRAS,51
2.0,ACTUARIO,CIENCIAS ECONOMICAS,50
134.0,TEC. EN ANESTESIA,MEDICINA,46
127.0,PROF. E. M. y S. EN FISICA,CS EXACTAS Y NATURALES,43
43.0,SOCIOLOGIA,CIENCIAS SOCIALES,42
96.0,PROD.VEGETAL ORGANICA,AGRONOMIA,41
82.0,EDICION,FILOSOFIA Y LETRAS,39
58.0,SISTEMAS DE INFORMACION,CIENCIAS ECONOMICAS,39
56.0,OPTICO TECNICO,FARMACIA Y BIOQUIMICA,38
