,0,1,2,3,4,5,6,7,8,9
cuat,39.0,40.0,81.0,17.0,16.0,6.0,11.0,137.0,71.0,21.0
SEDE,86.0,112.0,168.0,28.0,52.0,7.0,25.0,441.0,151.0,41.0
MATERIA,37.0,40.0,76.0,15.0,20.0,7.0,12.0,147.0,103.0,36.0
pa1,236.0,233.0,422.0,60.0,84.0,49.0,65.0,567.0,303.0,164.0
pa1_prom,323.0,384.0,673.0,105.0,153.0,27.0,114.0,1612.0,696.0,194.0
codCarrera,208.0,272.0,296.0,52.0,78.0,20.0,45.0,988.0,317.0,96.0
facultad,127.0,161.0,147.0,38.0,48.0,8.0,36.0,607.0,166.0,60.0
extranjero,58.0,67.0,97.0,16.0,24.0,6.0,7.0,245.0,69.0,24.0
edad,104.0,121.0,170.0,34.0,44.0,16.0,29.0,385.0,157.0,71.0
prom_edad,289.0,381.0,605.0,93.0,142.0,36.0,103.0,1562.0,600.0,158.0
turno,74.0,81.0,177.0,24.0,32.0,16.0,20.0,286.0,147.0,47.0
n_alum,214.0,310.0,455.0,85.0,119.0,21.0,78.0,1398.0,507.0,128.0
p_ext,231.0,339.0,457.0,88.0,149.0,18.0,85.0,1430.0,540.0,148.0
recurso,63.0,113.0,137.0,20.0,37.0,6.0,21.0,438.0,127.0,30.0
p_recursa,208.0,360.0,498.0,85.0,130.0,18.0,80.0,1314.0,516.0,150.0
abandona1_p,342.0,398.0,746.0,134.0,184.0,50.0,113.0,1633.0,713.0,229.0
