,0,1,2,3,4,5,6,7,8,9
cuat,63.0,70.0,163.0,22.0,18.0,7.0,15.0,18.0,13.0,28.0
SEDE,81.0,117.0,404.0,49.0,29.0,20.0,36.0,36.0,31.0,58.0
MATERIA,97.0,101.0,282.0,30.0,33.0,33.0,35.0,30.0,14.0,61.0
pa1_prom,530.0,564.0,1894.0,206.0,153.0,120.0,147.0,179.0,104.0,276.0
codCarrera,457.0,555.0,2012.0,182.0,158.0,129.0,140.0,149.0,73.0,304.0
facultad,221.0,254.0,938.0,84.0,76.0,62.0,74.0,67.0,31.0,151.0
extranjero,135.0,136.0,566.0,54.0,52.0,44.0,38.0,41.0,19.0,94.0
edad,201.0,208.0,887.0,87.0,79.0,64.0,60.0,70.0,34.0,143.0
prom_edad,428.0,497.0,1389.0,171.0,123.0,73.0,139.0,158.0,99.0,247.0
turno,118.0,131.0,446.0,41.0,39.0,26.0,28.0,33.0,22.0,69.0
n_alum,353.0,392.0,1006.0,144.0,97.0,61.0,101.0,134.0,76.0,197.0
p_ext,300.0,406.0,1215.0,126.0,103.0,62.0,102.0,132.0,81.0,175.0
recurso,153.0,180.0,631.0,60.0,47.0,37.0,42.0,63.0,30.0,92.0
p_recursa,300.0,366.0,1066.0,119.0,92.0,63.0,101.0,123.0,68.0,206.0
abandona1_p,577.0,641.0,2173.0,216.0,166.0,119.0,169.0,178.0,106.0,367.0
