,0,1,2,3,4,5,6,7,8,9
cuat,43.0,46.0,8.0,,158.0,9.0,40.0,90.0,67.0,15.0
SEDE,185.0,128.0,16.0,7.0,598.0,20.0,102.0,216.0,154.0,57.0
MATERIA,89.0,58.0,13.0,8.0,153.0,15.0,51.0,93.0,79.0,26.0
pa1,440.0,192.0,72.0,53.0,702.0,71.0,198.0,347.0,286.0,94.0
pa1_prom,722.0,588.0,84.0,45.0,1838.0,77.0,360.0,887.0,657.0,188.0
codCarrera,343.0,233.0,36.0,24.0,1263.0,45.0,159.0,418.0,258.0,92.0
facultad,242.0,140.0,22.0,17.0,717.0,18.0,78.0,212.0,150.0,60.0
extranjero,70.0,69.0,7.0,6.0,251.0,10.0,41.0,115.0,67.0,29.0
edad,192.0,111.0,29.0,15.0,453.0,33.0,89.0,209.0,158.0,49.0
prom_edad,596.0,579.0,87.0,41.0,1940.0,97.0,392.0,935.0,643.0,190.0
turno,122.0,113.0,20.0,8.0,368.0,29.0,86.0,180.0,152.0,45.0
n_alum,551.0,423.0,63.0,33.0,1587.0,69.0,286.0,657.0,517.0,150.0
p_ext,721.0,437.0,69.0,34.0,1687.0,65.0,273.0,882.0,562.0,156.0
recurso,99.0,101.0,12.0,4.0,477.0,18.0,65.0,158.0,114.0,43.0
p_recursa,562.0,456.0,44.0,28.0,1560.0,71.0,268.0,692.0,531.0,166.0
