,0,1,2,3,4,5,6,7,8,9
cuat,77.0,173.0,5.0,474.0,4.0,11.0,24.0,34.0,58.0,287.0
SEDE,276.0,583.0,14.0,1663.0,14.0,39.0,118.0,82.0,192.0,1136.0
MATERIA,170.0,240.0,31.0,536.0,21.0,23.0,62.0,43.0,67.0,428.0
pa1_prom,995.0,1908.0,127.0,5408.0,96.0,110.0,321.0,301.0,623.0,3093.0
codCarrera,867.0,1302.0,115.0,3786.0,71.0,99.0,249.0,214.0,441.0,2257.0
facultad,390.0,617.0,55.0,1778.0,39.0,48.0,135.0,115.0,212.0,1105.0
extranjero,213.0,356.0,38.0,870.0,25.0,28.0,72.0,46.0,91.0,494.0
edad,306.0,627.0,59.0,1395.0,46.0,44.0,103.0,104.0,171.0,968.0
prom_edad,1061.0,1980.0,48.0,5846.0,61.0,129.0,316.0,299.0,675.0,3503.0
turno,250.0,387.0,40.0,1036.0,23.0,25.0,64.0,47.0,113.0,699.0
n_alum,769.0,1576.0,50.0,4873.0,41.0,93.0,268.0,272.0,526.0,2797.0
p_ext,813.0,1675.0,54.0,4768.0,55.0,91.0,294.0,279.0,573.0,2919.0
recurso,268.0,503.0,23.0,1470.0,20.0,30.0,85.0,79.0,175.0,937.0
p_recursa,724.0,1592.0,44.0,4294.0,45.0,89.0,236.0,273.0,534.0,2564.0
