,0,1,2,3,4,5,6,7,8,9
cuat,36.0,26.0,286.0,61.0,14.0,24.0,60.0,68.0,12.0,5.0
MATERIA,39.0,25.0,296.0,56.0,14.0,30.0,109.0,49.0,13.0,11.0
pa1,200.0,123.0,1383.0,289.0,70.0,153.0,542.0,463.0,75.0,64.0
pa1_prom,258.0,177.0,2336.0,444.0,100.0,194.0,450.0,350.0,80.0,80.0
codCarrera,189.0,103.0,1025.0,193.0,44.0,107.0,234.0,262.0,34.0,27.0
facultad,103.0,41.0,538.0,120.0,26.0,47.0,177.0,94.0,13.0,15.0
extranjero,56.0,23.0,339.0,58.0,15.0,31.0,96.0,89.0,9.0,6.0
edad,119.0,52.0,621.0,155.0,28.0,74.0,259.0,169.0,31.0,23.0
prom_edad,240.0,157.0,2207.0,445.0,96.0,194.0,412.0,431.0,72.0,68.0
turno,75.0,57.0,595.0,119.0,23.0,60.0,175.0,150.0,25.0,12.0
n_alum,219.0,131.0,1696.0,327.0,67.0,146.0,308.0,305.0,51.0,51.0
p_ext,242.0,140.0,1537.0,329.0,74.0,138.0,273.0,348.0,53.0,64.0
recurso,75.0,37.0,506.0,107.0,20.0,40.0,108.0,83.0,14.0,11.0
p_recursa,231.0,138.0,1652.0,342.0,72.0,148.0,327.0,358.0,54.0,39.0
abandona1_p,350.0,204.0,2818.0,563.0,111.0,257.0,641.0,681.0,94.0,97.0
sala,155.0,97.0,1300.0,266.0,51.0,146.0,256.0,217.0,38.0,45.0
