,0,1,2,3,4,5,6,7,8,9
cuat,16.0,37.0,91.0,354.0,88.0,187.0,49.0,234.0,56.0,40.0
MATERIA,24.0,37.0,77.0,312.0,78.0,165.0,55.0,165.0,45.0,42.0
pa1,161.0,94.0,240.0,1441.0,282.0,559.0,229.0,449.0,223.0,121.0
codCarrera,58.0,147.0,389.0,1170.0,448.0,693.0,153.0,1292.0,158.0,129.0
facultad,17.0,95.0,198.0,630.0,226.0,402.0,71.0,678.0,111.0,64.0
extranjero,21.0,33.0,82.0,283.0,84.0,143.0,50.0,240.0,51.0,26.0
edad,55.0,60.0,171.0,802.0,197.0,342.0,108.0,447.0,119.0,71.0
turno,53.0,79.0,187.0,715.0,188.0,356.0,103.0,520.0,104.0,64.0
n_alum,90.0,370.0,844.0,2348.0,662.0,1582.0,283.0,2462.0,327.0,293.0
p_ext,107.0,454.0,1118.0,3120.0,778.0,1980.0,363.0,3143.0,400.0,339.0
recurso,17.0,60.0,158.0,500.0,150.0,295.0,67.0,569.0,59.0,49.0
p_recursa,104.0,397.0,899.0,2909.0,738.0,1807.0,306.0,2647.0,338.0,300.0
