,0,1,2,3,4,5,6,7,8,9
cuat,2313.0,59.0,11.0,35.0,4624.0,19.0,597.0,198.0,38.0,76.0
MATERIA,1335.0,44.0,10.0,19.0,2480.0,17.0,345.0,114.0,28.0,49.0
codCarrera,10234.0,289.0,53.0,187.0,27029.0,110.0,4722.0,1548.0,215.0,454.0
facultad,4634.0,146.0,37.0,106.0,11927.0,75.0,1990.0,642.0,102.0,254.0
extranjero,2138.0,56.0,10.0,40.0,5501.0,25.0,846.0,273.0,41.0,74.0
edad,2665.0,92.0,23.0,82.0,10734.0,37.0,1509.0,531.0,93.0,168.0
turno,2719.0,91.0,14.0,65.0,8856.0,32.0,1404.0,431.0,81.0,160.0
n_alum,14300.0,492.0,79.0,273.0,41086.0,150.0,5287.0,1742.0,353.0,606.0
p_ext,16000.0,575.0,134.0,304.0,44956.0,156.0,5494.0,1925.0,409.0,745.0
recurso,3070.0,106.0,19.0,83.0,10835.0,39.0,1949.0,627.0,84.0,170.0
p_recursa,14659.0,520.0,100.0,308.0,42447.0,147.0,5448.0,1734.0,435.0,750.0
sala,12558.0,412.0,89.0,211.0,30445.0,131.0,3962.0,1255.0,336.0,519.0
