,0,1,2,3,4
cuat,64.0,21.0,159.0,50.0,73.0
MATERIA,43.0,15.0,147.0,33.0,53.0
pa1,148.0,134.0,572.0,166.0,325.0
pa1_prom,534.0,197.0,1222.0,407.0,564.0
extranjero,70.0,28.0,180.0,75.0,109.0
prom_edad,501.0,159.0,1241.0,396.0,522.0
n_alum,420.0,135.0,1028.0,353.0,500.0
p_ext,475.0,180.0,970.0,342.0,487.0
recurso,130.0,33.0,314.0,106.0,143.0
p_recursa,455.0,167.0,984.0,392.0,449.0
abandona1_p,552.0,199.0,1494.0,474.0,656.0
SEDE_1,36.0,6.0,70.0,16.0,21.0
SEDE_10,24.0,6.0,80.0,30.0,22.0
SEDE_2,21.0,18.0,49.0,18.0,21.0
SEDE_4,34.0,8.0,90.0,28.0,32.0
SEDE_5,22.0,11.0,66.0,32.0,23.0
SEDE_6,21.0,6.0,30.0,15.0,19.0
SEDE_O,20.0,3.0,39.0,10.0,15.0
turno_A,35.0,13.0,108.0,26.0,32.0
turno_B,18.0,5.0,44.0,14.0,24.0
turno_C,37.0,17.0,66.0,32.0,37.0
turno_D,32.0,13.0,105.0,38.0,40.0
edad_1,1.0,,1.0,,
edad_2,16.0,9.0,46.0,13.0,16.0
edad_3,41.0,26.0,116.0,41.0,67.0
edad_4,61.0,21.0,171.0,47.0,85.0
edad_5,35.0,5.0,89.0,25.0,32.0
edad_6,10.0,,4.0,6.0,5.0
edad_7,6.0,4.0,7.0,6.0,4.0
edad_8,1.0,,,,1.0
codCarrera_1,1.0,,4.0,,
codCarrera_4,7.0,5.0,38.0,6.0,15.0
codCarrera_5,16.0,9.0,51.0,15.0,19.0
codCarrera_7,1.0,1.0,1.0,3.0,4.0
codCarrera_9,9.0,3.0,18.0,5.0,7.0
codCarrera_11,7.0,4.0,14.0,7.0,12.0
codCarrera_12,6.0,3.0,4.0,5.0,16.0
codCarrera_14,10.0,2.0,12.0,7.0,12.0
codCarrera_15,1.0,4.0,1.0,3.0,3.0
codCarrera_16,1.0,,5.0,2.0,8.0
codCarrera_17,4.0,1.0,3.0,4.0,6.0
codCarrera_18,6.0,2.0,22.0,7.0,3.0
codCarrera_19,1.0,8.0,14.0,3.0,13.0
codCarrera_20,1.0,1.0,8.0,2.0,
codCarrera_26,15.0,3.0,26.0,8.0,12.0
codCarrera_27,5.0,,1.0,,1.0
codCarrera_28,9.0,2.0,18.0,5.0,9.0
codCarrera_29,7.0,,17.0,6.0,4.0
codCarrera_30,9.0,2.0,11.0,6.0,16.0
codCarrera_31,3.0,,,4.0,
codCarrera_32,5.0,4.0,5.0,5.0,5.0
codCarrera_33,14.0,3.0,13.0,8.0,9.0
codCarrera_39,38.0,14.0,102.0,39.0,59.0
codCarrera_40,17.0,2.0,33.0,17.0,21.0
codCarrera_41,15.0,3.0,19.0,11.0,19.0
codCarrera_42,2.0,,3.0,,5.0
codCarrera_45,13.0,4.0,45.0,14.0,13.0
codCarrera_46,21.0,4.0,37.0,7.0,10.0
codCarrera_47,3.0,6.0,23.0,6.0,5.0
codCarrera_65,1.0,5.0,6.0,1.0,10.0
codCarrera_90,24.0,8.0,37.0,19.0,18.0
codCarrera_95,2.0,,2.0,1.0,6.0
codCarrera_97,8.0,1.0,3.0,1.0,10.0
codCarrera_99,11.0,5.0,33.0,13.0,10.0
codCarrera_124,6.0,14.0,4.0,2.0,
codCarrera_132,31.0,5.0,82.0,21.0,27.0
codCarrera_999,19.0,11.0,93.0,22.0,19.0
facultad_AGRONOMIA,9.0,,3.0,4.0,6.0
facultad_ARQUITECTURA Y URBANISMO,5.0,3.0,18.0,7.0,13.0
facultad_CIENCIAS ECONOMICAS,1.0,4.0,7.0,1.0,4.0
facultad_CIENCIAS SOCIALES,4.0,1.0,15.0,7.0,14.0
facultad_CIENCIAS VETERINARIAS,7.0,1.0,14.0,4.0,3.0
facultad_CS EXACTAS Y NATURALES,16.0,2.0,32.0,16.0,15.0
facultad_FARMACIA Y BIOQUIMICA,17.0,3.0,22.0,10.0,11.0
facultad_INGENIERIA,33.0,16.0,38.0,22.0,28.0
facultad_MEDICINA,24.0,10.0,28.0,20.0,15.0
facultad_PSICOLOGIA,6.0,9.0,,7.0,9.0
