,sede 2_0,sede 2_1,sede 2_2,sede 2_3,sede 2_4,sede 10_0,sede 10_1,sede 10_2,sede 10_3,sede 10_4,sede 4_0,sede 4_1,sede 4_2,sede 4_3,sede 4_4,sede 1_0,sede 1_1,sede 1_2,sede 1_3,sede 1_4,sede 5_0,sede 5_1,sede 5_2,sede 5_3,sede 5_4,sede 6_0,sede 6_1,sede 6_2,sede 6_3,sede 6_4
cuat,7.0,2.0,9.0,19.0,28.0,3.0,20.0,12.0,13.0,19.0,6.0,2.0,1.0,18.0,1.0,9.0,3.0,15.0,15.0,82.0,2.0,23.0,1158.0,4.0,,3.0,,1.0,6.0,5.0
extranjero,11.0,4.0,17.0,30.0,70.0,4.0,21.0,24.0,20.0,28.0,5.0,4.0,2.0,16.0,1.0,8.0,5.0,14.0,14.0,102.0,6.0,40.0,995.0,3.0,2.0,4.0,1.0,3.0,6.0,8.0
prom_edad,14.0,5.0,32.0,83.0,255.0,19.0,21.0,107.0,98.0,129.0,60.0,32.0,11.0,114.0,5.0,43.0,25.0,85.0,76.0,314.0,10.0,72.0,8742.0,7.0,1.0,5.0,2.0,18.0,67.0,48.0
n_alum,12.0,7.0,24.0,49.0,181.0,19.0,44.0,84.0,86.0,157.0,64.0,24.0,9.0,69.0,8.0,36.0,14.0,71.0,70.0,252.0,11.0,72.0,6034.0,5.0,2.0,5.0,,13.0,50.0,31.0
p_ext,8.0,4.0,22.0,52.0,230.0,18.0,52.0,97.0,88.0,130.0,54.0,25.0,9.0,65.0,8.0,44.0,13.0,58.0,79.0,273.0,10.0,72.0,6585.0,6.0,3.0,7.0,1.0,11.0,53.0,26.0
recurso,6.0,2.0,16.0,33.0,149.0,9.0,27.0,62.0,44.0,83.0,28.0,16.0,5.0,60.0,3.0,25.0,8.0,47.0,48.0,215.0,7.0,29.0,6236.0,2.0,,3.0,1.0,3.0,18.0,15.0
p_recursa,19.0,3.0,34.0,84.0,216.0,16.0,45.0,99.0,89.0,119.0,44.0,39.0,14.0,80.0,6.0,42.0,21.0,66.0,70.0,327.0,19.0,51.0,5091.0,5.0,3.0,13.0,3.0,11.0,75.0,44.0
abandona1_p,30.0,14.0,50.0,100.0,226.0,21.0,58.0,104.0,65.0,150.0,88.0,33.0,19.0,152.0,13.0,66.0,30.0,135.0,124.0,501.0,21.0,98.0,5503.0,6.0,5.0,11.0,2.0,13.0,65.0,50.0
turno_C,2.0,,2.0,5.0,26.0,1.0,,3.0,7.0,8.0,5.0,2.0,1.0,4.0,,2.0,,7.0,5.0,26.0,1.0,1.0,250.0,,,,,1.0,4.0,1.0
edad_2,1.0,1.0,2.0,6.0,14.0,,1.0,6.0,5.0,3.0,1.0,,,,,,,,,,5.0,8.0,1125.0,1.0,,,,,,
edad_3,2.0,1.0,4.0,12.0,45.0,2.0,1.0,8.0,16.0,23.0,16.0,7.0,2.0,24.0,1.0,7.0,4.0,15.0,18.0,108.0,5.0,19.0,1866.0,4.0,1.0,1.0,,4.0,10.0,9.0
edad_4,6.0,2.0,8.0,18.0,31.0,1.0,9.0,15.0,12.0,16.0,4.0,2.0,2.0,3.0,,1.0,,2.0,1.0,17.0,1.0,,1274.0,1.0,,2.0,1.0,1.0,5.0,5.0
edad_5,1.0,,2.0,2.0,10.0,,,1.0,,,1.0,1.0,,3.0,,,,3.0,,3.0,,,75.0,,,,,,2.0,
codCarrera_5,3.0,1.0,7.0,11.0,19.0,2.0,3.0,12.0,10.0,7.0,8.0,4.0,4.0,23.0,2.0,9.0,3.0,13.0,16.0,67.0,4.0,27.0,275.0,2.0,1.0,2.0,,3.0,8.0,9.0
codCarrera_9,2.0,1.0,5.0,11.0,15.0,1.0,,4.0,2.0,9.0,5.0,4.0,2.0,24.0,1.0,5.0,3.0,12.0,12.0,75.0,,,1274.0,,,,,1.0,4.0,3.0
