,0,1,2,3,4,5,6,7,8,9
cuat,88.4711685180664,155.3500213623047,141.77532958984375,293.4308166503906,53.19094467163086,36.47892761230469,47.7861442565918,90.51982879638672,341.5738830566406,49.01645278930664
SEDE,78.31128692626953,171.54934692382812,232.30267333984375,458.3979797363281,48.13711929321289,56.5378303527832,74.32971954345703,152.64833068847656,741.9853515625,47.95053482055664
MATERIA,100.48577880859375,113.6129150390625,181.89248657226562,251.11573791503906,110.49717712402344,44.99977111816406,61.85902404785156,73.25352478027344,376.4364929199219,67.04190063476562
pa1,19974.08984375,23788.55078125,30854.703125,52726.9921875,27377.794921875,10033.0751953125,9199.31640625,13924.7294921875,52195.4765625,8420.935546875
pa1_prom,479.083984375,727.880859375,831.3851318359375,1372.3072509765625,212.58367919921875,277.3831787109375,395.2630615234375,603.8485107421875,3043.925048828125,305.1925964355469
codCarrera,278.19000244140625,429.21490478515625,455.8753356933594,799.8721313476562,270.3412170410156,182.79161071777344,183.31419372558594,404.2005310058594,1879.03857421875,154.9991912841797
facultad,38.279537200927734,121.05924987792969,141.63136291503906,268.70281982421875,49.20878219604492,28.58167266845703,66.56863403320312,135.5188446044922,606.8453369140625,55.58478546142578
extranjero,124.83100128173828,138.40684509277344,156.8375701904297,281.3414611816406,115.20586395263672,47.45238494873047,60.53190612792969,130.86314392089844,493.5317687988281,48.0118522644043
edad,283.3213195800781,353.8970947265625,524.0284423828125,954.5906982421875,372.93756103515625,189.5279541015625,190.67164611816406,270.7464294433594,1041.9886474609375,148.27963256835938
prom_edad,452.6952209472656,787.5538330078125,968.4561157226562,1386.7877197265625,325.0352478027344,284.30352783203125,405.89300537109375,637.978759765625,2858.697265625,257.6329650878906
turno,242.51979064941406,394.3577575683594,422.69073486328125,739.9109497070312,375.27313232421875,147.30613708496094,156.6748809814453,230.4243621826172,929.4164428710938,133.01515197753906
n_alum,298.43310546875,489.71185302734375,585.0194091796875,1121.3568115234375,187.5090789794922,167.32496643066406,281.3023376464844,404.2440490722656,2247.715576171875,212.31369018554688
p_ext,369.9835510253906,553.625,542.4063110351562,1162.5205078125,140.38172912597656,221.9808807373047,310.73638916015625,459.1880798339844,2573.423828125,191.00582885742188
recurso,72.53732299804688,153.79702758789062,215.2699737548828,293.76763916015625,107.45419311523438,53.68397903442383,90.35291290283203,168.4344940185547,683.1162109375,71.22140502929688
p_recursa,375.98126220703125,656.70703125,743.9840087890625,1514.7911376953125,383.1426086425781,265.35992431640625,321.0956726074219,592.53759765625,2506.137939453125,281.9330749511719
abandona1_p,862.605712890625,1095.411376953125,1359.3079833984375,2601.500732421875,885.1845092773438,455.23663330078125,531.236328125,918.9343872070312,3501.21875,397.5216369628906
