
Cantidad de observaciones con notas > 3:  51789
Positivos/Total:  0.042
Cantidad de observaciones para entrenamiento:  36252
Positivos/Total:  0.042
Variables:  ['cuat' 'SEDE' 'MATERIA' 'pa1' 'facultad' 'extranjero' 'turno' 'n_alum'
 'p_ext' 'recurso' 'p_recursa' 'pa1_prom' 'edad' 'prom_edad' 'abandona1_p']

===================
Validación cruzada con aucpr

0  rounds= 16  aucpr= 0.0625  std= 0.004
1  rounds= 1  aucpr= 0.0416  std= 0.0007
2  rounds= 1  aucpr= 0.0416  std= 0.0007
3  rounds= 1  aucpr= 0.0416  std= 0.0007
4  rounds= 1  aucpr= 0.0416  std= 0.0007
5  rounds= 1  aucpr= 0.0416  std= 0.0007
6  rounds= 1  aucpr= 0.0416  std= 0.0007
7  rounds= 62  aucpr= 0.1289  std= 0.0077
8  rounds= 1  aucpr= 0.0416  std= 0.0007
9  rounds= 1  aucpr= 0.0416  std= 0.0007
10  rounds= 1  aucpr= 0.0416  std= 0.0007
11  rounds= 1  aucpr= 0.0416  std= 0.0007
12  rounds= 1  aucpr= 0.0416  std= 0.0007
13  rounds= 1  aucpr= 0.0416  std= 0.0007
14  rounds= 1  aucpr= 0.0416  std= 0.0007
15  rounds= 1  aucpr= 0.0416  std= 0.0007
16  rounds= 1  aucpr= 0.0416  std= 0.0007
17  rounds= 1  aucpr= 0.0416  std= 0.0007
18  rounds= 1  aucpr= 0.0416  std= 0.0007
19  rounds= 1  aucpr= 0.0416  std= 0.0007
20  rounds= 1  aucpr= 0.0416  std= 0.0007
21  rounds= 1  aucpr= 0.0416  std= 0.0007
22  rounds= 1  aucpr= 0.0416  std= 0.0007
23  rounds= 1  aucpr= 0.0416  std= 0.0007
24  rounds= 1  aucpr= 0.0416  std= 0.0007
25  rounds= 1  aucpr= 0.0416  std= 0.0007
26  rounds= 1  aucpr= 0.0416  std= 0.0007
27  rounds= 1  aucpr= 0.0416  std= 0.0007
28  rounds= 1  aucpr= 0.0416  std= 0.0007
29  rounds= 1  aucpr= 0.0416  std= 0.0007
30  rounds= 1  aucpr= 0.0416  std= 0.0007
31  rounds= 1  aucpr= 0.0416  std= 0.0007
32  rounds= 1  aucpr= 0.0416  std= 0.0007
33  rounds= 1  aucpr= 0.0416  std= 0.0007
34  rounds= 1  aucpr= 0.0416  std= 0.0007
35  rounds= 1  aucpr= 0.0416  std= 0.0007
36  rounds= 1  aucpr= 0.0416  std= 0.0007
37  rounds= 1  aucpr= 0.0416  std= 0.0007
